Time (s),USB Avg Current (mA),USB Avg Power (mW)
0.6140,570.929,2653.678
0.6160,572.072,2657.8467
0.6180,566.941,2637.4094
0.6200,587.18,2715.1204
0.6220,565.935,2633.8613
0.6240,567.016,2632.0884
0.6260,554.803,2577.6145
0.6280,560.418,2608.1853
0.6300,568.73,2642.3193
0.6320,589.23,2726.9563
0.6340,565.537,2629.7471
0.6360,564.841,2626.5107
0.6380,563.885,2623.1931
0.6400,563.947,2622.3538
0.6420,584.198,2695.4895
0.6440,541.67,2524.1821
0.6460,565.649,2631.3992
0.6480,565.81,2619.7004
0.6500,565.984,2627.2979
0.6520,585.528,2708.6526
0.6540,570.146,2648.8982
0.6560,565.81,2628.7532
0.6580,565.052,2625.2314
0.6600,541.869,2520.7747
0.6620,563.661,2621.0237
0.6640,591.603,2726.1067
0.6660,568.37,2634.9634
0.6680,573.6,2662.6511
0.6700,566.643,2632.6233
0.6720,572.172,2657.1667
0.6740,592.137,2734.4888
0.6760,554.492,2573.9519
0.6780,566.73,2635.2944
0.6800,568.159,2638.5305
0.6820,569.078,2643.9363
0.6840,576.023,2661.2263
0.6860,593.405,2740.3445
0.6880,572.606,2656.8918
0.6900,567.885,2636.1223
0.6920,554.343,2585.4558
0.6940,561.412,2601.583
0.6960,589.888,2728.8218
0.6980,569.55,2643.8511
0.7000,572.42,2650.3047
0.7020,568.072,2641.5349
0.7040,570.929,2652.5361
0.7060,569.786,2649.5049
0.7080,592.585,2731.8171
0.7100,544.59,2539.968
0.7120,565.413,2622.3855
0.7140,566.643,2629.2234
0.7160,567.848,2640.4934
0.7180,585.254,2706.2146
0.7200,566.519,2636.5793
0.7220,564.531,2617.1658
0.7240,567.5,2633.2
0.7260,553.66,2573.4114
0.7280,582.521,2687.7517
0.7300,571.737,2654.0032
0.7320,565.487,2629.5146
0.7340,566.854,2633.6038
0.7360,564.382,2625.5051
0.7380,563.972,2614.5742
0.7400,588.919,2719.6279
0.7420,542.403,2534.1069
0.7440,563.4,2610.7957
0.7460,565.81,2623.0952
0.7480,565.525,2628.5601
0.7500,591.056,2735.4072
0.7520,566.456,2634.0205
0.7540,564.717,2625.9341
0.7560,568.941,2642.1619
0.7580,545.263,2544.197
0.7600,569.639,2641.9856
0.7620,590.971,2739.7417
0.7640,568.968,2644.5632
0.7660,568.881,2637.3323
0.7680,566.806,2626.5791
0.7700,566.135,2632.5278
0.7720,589.008,2724.751
0.7740,551.487,2574.3416
0.7760,559.861,2604.4734
0.7780,566.831,2626.6948
0.7800,568.16,2635.126
0.7820,573.751,2656.467
0.7840,587.293,2723.865
0.7860,566.607,2635.8557
0.7880,565.899,2628.0349
0.7900,568.396,2632.8103
0.7920,542.815,2536.0317
0.7940,585.306,2705.2847
0.7960,568.272,2642.4648
0.7980,567.937,2639.771
0.8000,567.576,2627.877
0.8020,566.135,2631.3955
0.8040,583.926,2696.5703
0.8060,572.459,2658.4995
0.8080,541.113,2530.2444
0.8100,563.961,2625.8025
0.8120,566.682,2631.6714
0.8140,566.607,2623.3904
0.8160,589.281,2728.3711
0.8180,564.93,2616.7556
0.8200,563.998,2616.9507
0.8220,565.017,2628.4592
0.8240,542.592,2534.9897
0.8260,601.718,2781.1409
0.8280,567.179,2629.4419
0.8300,566.856,2624.5435
0.8320,565.278,2629.6733
0.8340,569.527,2631.2146
0.8360,566.906,2629.3101
0.8380,585.082,2700.7385
0.8400,548.99,2560.4893
0.8420,558.979,2594.7808
0.8440,565.228,2617.0059
0.8460,570.819,2638.3254
0.8480,587.778,2714.3589
0.8500,575.602,2662.7349
0.8520,569.018,2642.5195
0.8540,568.508,2641.2881
0.8560,569.018,2645.9338
0.8580,556.146,2582.7419
0.8600,589.902,2724.1672
0.8620,576.174,2671.1428
0.8640,567.055,2632.2693
0.8660,568.546,2633.5051
0.8680,565.787,2630.9094
0.8700,591.145,2739.366
0.8720,567.092,2636.9778
0.8740,545.188,2548.2085
0.8760,565.949,2624.8713
0.8780,569.726,2641.25
0.8800,586.846,2713.5759
0.8820,569.303,2635.8728
0.8840,564.682,2626.9006
0.8860,564.384,2624.3855
0.8880,565.464,2631.6692
0.8900,544.021,2532.9619
0.8920,587.629,2716.0215
0.8940,589.145,2732.4546
0.8960,566.645,2634.8994
0.8980,566.371,2633.625
0.9000,564.421,2615.5269
0.9020,588.325,2721.5916
0.9040,567.104,2637.0337
0.9060,549.798,2567.5566
0.9080,553.239,2575.8809
0.9100,564.905,2617.7698
0.9120,568.198,2636.4387
0.9140,592.263,2743.3623
0.9160,564.967,2628.2263
0.9180,564.284,2626.1775
0.9200,563.862,2615.1919
0.9220,566.347,2625.5847
0.9240,564.955,2632.6902
0.9260,576.82,2678.7522
0.9280,566.061,2632.1836
0.9300,565.999,2631.8955
0.9320,566.458,2626.0994
0.9340,566.843,2626.7505
0.9360,589.343,2731.0154
0.9380,565.887,2631.3748
0.9400,541.983,2534.3125
0.9420,564.023,2622.707
0.9440,565.638,2630.2168
0.9460,589.815,2729.6638
0.9480,567.092,2635.8435
0.9500,564.321,2620.7068
0.9520,564.458,2615.6982
0.9540,565.241,2621.5879
0.9560,547.748,2555.792
0.9580,586.051,2714.5884
0.9600,565.117,2627.7942
0.9620,566.309,2634.4695
0.9640,566.545,2627.6357
0.9660,564.508,2615.9299
0.9680,588.971,2728.1138
0.9700,564.023,2623.835
0.9720,566.409,2630.4033
0.9740,541.312,2531.175
0.9760,567.49,2634.2886
0.9780,568.558,2627.8752
0.9800,590.685,2732.5088
0.9820,565.912,2631.4907
0.9840,563.961,2621.2905
0.9860,564.073,2624.0676
0.9880,567.104,2633.6311
0.9900,566.26,2630.844
0.9920,567.552,2639.1169
0.9940,569.154,2640.8745
0.9960,571.279,2643.8792
0.9980,568.247,2637.8027
1.0000,586.374,2714.9119
1.0020,576.845,2678.8682
1.0040,569.366,2648.6907
1.0060,541.337,2521.5476
1.0080,564.023,2620.4509
1.0100,568.831,2643.9263
1.0120,591.754,2742.188
1.0140,566.098,2634.6201
